Bus Number,Service Date,Route/Down/NIS,Date When Service Went Down,Bus Went Down on Service Date,Expected Return Date,Specify Other Reason Here,Current Status for Down Buses,Operations Down Bus Reason 1,Operations Down Bus Reason 2,Operations Down Bus Reason 3,Down Duration,AM Pull-out Route/Down/NIS,AM Pullout Down Bus Reason 1,AM Pullout Down Bus Reason 2,Bus Status Change
1130.0,2023-08-09,Down,2023-02-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Ready to Pick Up,Not Specified,Not Specified,182.0,Down,Ready to Pick Up,Not Specified,Yes
1130.0,2023-08-10,Down,2023-02-08 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Ready to Pick Up,Not Specified,Not Specified,183.0,GT-US,Not Specified,Not Specified,No
1130.0,2023-08-11,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Down,Ready to Pick Up,Not Specified,No
1130.0,2023-08-12,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Down,Not Specified,Not Specified,No
1130.0,2023-08-13,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1130.0,2023-08-16,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1130.0,2023-08-17,Down,2023-08-17 00:00:00,Yes,2023-08-21 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-18,Down,2023-07-17 00:00:00,Yes,2023-07-17 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,32.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-19,Down,2023-07-17 00:00:00,Yes,2023-08-21 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,33.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-20,Down,2023-08-17 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,3.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-21,Down,2023-08-17 00:00:00,Not Specified,2023-08-18 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,4.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-22,Down,2023-08-17 00:00:00,Not Specified,2023-08-18 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,5.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-23,Down,2023-08-17 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,6.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-24,Down,2023-08-17 00:00:00,Not Specified,2023-08-18 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,7.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-25,Down,2023-08-17 00:00:00,Yes,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,8.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-27,Down,2023-08-17 00:00:00,Not Specified,2023-08-30 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),A/C (HVAC) Issues,Not Specified,Not Specified,10.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-28,Down,2023-08-17 00:00:00,Not Specified,2023-08-18 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,11.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-29,Down,2023-08-17 00:00:00,Not Specified,2023-08-18 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,12.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1130.0,2023-08-31,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1130.0,2023-09-05,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1130.0,2023-09-10,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1131.0,2023-08-09,Down,2023-07-18 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,22.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-10,Down,2023-07-18 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,23.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-11,Down,2023-07-18 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,24.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-12,Down,2023-07-18 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,25.0,Down,Not Specified,Not Specified,Yes
1131.0,2023-08-13,Down,2023-07-18 00:00:00,Not Specified,2023-08-18 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,26.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-16,Down,2023-07-18 00:00:00,Not Specified,2023-08-18 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,29.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-17,Down,2023-07-18 00:00:00,Not Specified,2023-08-21 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,30.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-18,Down,2023-07-18 00:00:00,Yes,2023-07-18 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,31.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-19,Down,2023-07-18 00:00:00,Yes,2023-08-21 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,32.0,Down,DC/DC#2,Not Specified,Yes
1131.0,2023-08-20,Down,2023-07-18 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,33.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-21,Down,2023-07-18 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,34.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-22,Down,2023-07-18 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,35.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-23,Down,2023-07-18 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,36.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-24,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1131.0,2023-08-25,Down,2023-07-18 00:00:00,Yes,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,38.0,Spare,Not Specified,Not Specified,No
1131.0,2023-08-27,Down,2023-07-18 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,40.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-28,Down,2023-07-18 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,41.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-29,Down,2023-07-18 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,42.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1131.0,2023-08-31,Not In Service,2023-08-31 00:00:00,Yes,2023-09-01 00:00:00,rear door malfunctioning,Awaiting Service/Parts (incl. Proterra),rear door malfunctioning,Not Specified,Not Specified,0.0,Down,A/C (HVAC) Issues,Not Specified,No
