Bus Number,Service Date,Today's Date,AM Pull-out Route/Down/NIS,AM Pullout Down Bus Reason 1,AM Pullout Down Bus Reason 2
1130.0,2023-08-27,2023-08-27 04:36:24,Down,A/C (HVAC) Issues,Not Specified
1131.0,2023-08-27,2023-08-27 04:36:24,Down,A/C (HVAC) Issues,Not Specified
1132.0,2023-08-27,2023-08-27 04:36:24,GT-US,Not Specified,Not Specified
1133.0,2023-08-27,2023-08-27 04:36:24,Down,A/C (HVAC) Issues,Not Specified
1134.0,2023-08-27,2023-08-27 04:36:24,Down,Transmission Issues,Not Specified
1135.0,2023-08-27,2023-08-27 04:36:24,Down,Mid-life Refurbishment,Not Specified
1136.0,2023-08-27,2023-08-27 04:36:24,Down,Transmission Issues,Not Specified
1137.0,2023-08-27,2023-08-27 04:36:24,RS-DP,Not Specified,Not Specified
1138.0,2023-08-27,2023-08-27 04:36:24,Down,Overheating Engine,Not Specified
1139.0,2023-08-27,2023-08-27 04:36:24,WP-AM,Not Specified,Not Specified
1140.0,2023-08-27,2023-08-27 04:36:24,RS-DP,Overheating Engine,Not Specified
1141.0,2023-08-27,2023-08-27 04:36:24,Down,Overheating Engine,Not Specified
1142.0,2023-08-27,2023-08-27 04:36:24,GT-US,Not Specified,Not Specified
1143.0,2023-08-27,2023-08-27 04:36:24,Down,Audit 'B'/ Ss Axle 2 Light,Not Specified
2001.0,2023-08-27,2023-08-27 04:36:24,Down,Follow Up,Not Specified
2002.0,2023-08-27,2023-08-27 04:36:24,RS-DP,Not Specified,Not Specified
2003.0,2023-08-27,2023-08-27 04:36:24,Down,Bae Issues/Doesn't Move/Cluster,Not Specified
2004.0,2023-08-27,2023-08-27 04:36:24,EM-LP,Not Specified,Not Specified
2005.0,2023-08-27,2023-08-27 04:36:24,GT-US,Not Specified,Not Specified
2006.0,2023-08-27,2023-08-27 04:36:24,Spare,Not Specified,Not Specified
2007.0,2023-08-27,2023-08-27 04:36:24,GT-US,Not Specified,Not Specified
2008.0,2023-08-27,2023-08-27 04:36:24,RS-DP,Not Specified,Not Specified
2009.0,2023-08-27,2023-08-27 04:36:24,Down,Bae Issues/Doesn't Move/Cluster,Not Specified
2010.0,2023-08-27,2023-08-27 04:36:24,CH-US,Not Specified,Not Specified
2011.0,2023-08-27,2023-08-27 04:36:24,NMS,Not Specified,Not Specified
2012.0,2023-08-27,2023-08-27 04:36:24,GT-US,Not Specified,Not Specified
2013.0,2023-08-27,2023-08-27 04:36:24,Down,Door-Glass Cracked,Not Specified
2014.0,2023-08-27,2023-08-27 04:36:24,CH-US,Not Specified,Not Specified
2015.0,2023-08-27,2023-08-27 04:36:24,EM-LP,Not Specified,Not Specified
2016.0,2023-08-27,2023-08-27 04:36:24,GT-US,Not Specified,Not Specified
2017.0,2023-08-27,2023-08-27 04:36:24,Down,Follow Up,Not Specified
2018.0,2023-08-27,2023-08-27 04:36:24,Down,Fire Suppression System/Discharge/No Start,Not Specified
2101.0,2023-08-27,2023-08-27 04:36:24,GT-US,Not Specified,Not Specified
2102.0,2023-08-27,2023-08-27 04:36:24,RS-DP,Not Specified,Not Specified
2103.0,2023-08-27,2023-08-27 04:36:24,EM-LP,Not Specified,Not Specified
2104.0,2023-08-27,2023-08-27 04:36:24,GT-US,Not Specified,Not Specified
2105.0,2023-08-27,2023-08-27 04:36:24,CH-US,Not Specified,Not Specified
2106.0,2023-08-27,2023-08-27 04:36:24,Spare,Not Specified,Not Specified
2107.0,2023-08-27,2023-08-27 04:36:24,Down,Fire Suppression System/Discharge/No Start,Not Specified
2108.0,2023-08-27,2023-08-27 04:36:24,Down,Check/Stop System/Engine Lights,Not Specified
