Bus Number,Today's Date,Service Date,Bus Missed Revenue,Missed Revenue Block Number,Missed Revenue Route,Start Time for Missed Revenue,End Time for Missed Revenue,Reason for Missed Revenue,Other Reason Here,Replacement Vehicle?,Missed Revenue Duration,Missed Revenue Duration Minutes,Missed Trip Fraction
1132.0,2023-08-27 20:06:02,2023-08-25,Yes,603.0,RS-DP,21:10:00,21:20:00,Mechanical,Not Specified,0.0,00:10,10.0,0.25
1137.0,2023-08-27 20:06:02,2023-08-25,Yes,601.0,RS-DP,17:00:00,18:53:00,Mechanical,Not Specified,0.0,01:53,113.0,2.825
1139.0,2023-08-27 20:06:02,2023-08-25,Yes,107.0,GT-US,20:25:00,20:55:00,Mechanical,Not Specified,0.0,00:30,30.0,0.25
2012.0,2023-08-27 20:06:02,2023-08-25,Yes,604.0,RS-DP,11:30:00,14:19:00,Mechanical,Not Specified,0.0,02:49,169.0,4.225
2101.0,2023-08-27 20:06:02,2023-08-25,Yes,603.0,GT-US,01:20:00,03:08:00,Other,Operator Emergency,0.0,01:48,108.0,0.9
2102.0,2023-08-27 20:06:02,2023-08-25,Yes,709.0,CH-US,07:30:00,10:20:00,Other,Late Revenue,0.0,02:50,170.0,1.1333333333333333
2114.0,2023-08-27 20:06:02,2023-08-25,Yes,806.0,NMS,10:34:00,11:25:00,Mechanical,Not Specified,0.0,00:51,51.0,0.85
2126.0,2023-08-27 20:06:02,2023-08-25,Yes,201.0,WP-AM,14:50:00,15:15:00,Other,Late Revenue,0.0,00:25,25.0,0.4166666666666667
3001.0,2023-08-27 20:06:02,2023-08-25,Yes,252.0,WP-AM,17:40:00,22:40:00,Other,Late Revenue,0.0,05:00,300.0,5.0
3003.0,2023-08-27 20:06:02,2023-08-25,Yes,252.0,WP-AM,12:40:00,14:27:00,Mechanical,Not Specified,0.0,01:47,107.0,1.7833333333333334
3009.0,2023-08-27 20:06:02,2023-08-25,Yes,752.0,CH-US,16:40:00,17:40:00,Other,Late Revenue,0.0,01:00,60.0,0.4
1131.0,2023-08-25 13:56:40,2023-08-24,Yes,605.0,RS-DP,17:50:00,18:50:00,Mechanical,Not Specified,0.0,01:00,60.0,1.5
1131.0,2023-08-25 13:56:40,2023-08-24,Yes,605.0,RS-DP,07:50:00,08:23:00,Absenteeism,Not Specified,0.0,00:33,33.0,0.825
1131.0,2023-08-25 13:56:40,2023-08-24,Yes,605.0,RS-DP,16:20:00,18:50:00,Mechanical,Not Specified,0.0,02:30,150.0,3.75
1140.0,2023-08-25 13:56:40,2023-08-24,Yes,112.0,GT-US,15:40:00,16:37:00,Vehicle Availability,Not Specified,0.0,00:57,57.0,0.475
1142.0,2023-08-25 13:56:40,2023-08-24,Yes,601.0,RS-DP,15:30:00,18:22:00,Mechanical,Not Specified,0.0,02:52,172.0,4.3
1143.0,2023-08-25 13:56:40,2023-08-24,Yes,603.0,RS-DP,06:20:00,08:20:00,Manpower,Not Specified,0.0,02:00,120.0,3.0
2004.0,2023-08-25 13:56:40,2023-08-24,Yes,103.0,GT-US,09:00:00,09:25:00,Vehicle Availability,Not Specified,0.0,00:25,25.0,0.20833333333333334
2005.0,2023-08-25 13:56:40,2023-08-24,Yes,603.0,RS-DP,13:30:00,14:09:00,Mechanical,Not Specified,0.0,00:39,39.0,0.975
2007.0,2023-08-25 13:56:40,2023-08-24,Yes,110.0,GT-US,10:30:00,11:39:00,Absenteeism,Not Specified,0.0,01:09,69.0,0.575
2007.0,2023-08-25 13:56:40,2023-08-24,Yes,110.0,GT-US,06:40:00,08:30:00,Vehicle Availability,Not Specified,0.0,01:50,110.0,0.9166666666666666
2015.0,2023-08-25 13:56:40,2023-08-24,Yes,701.0,CH-US,06:00:00,06:40:00,Absenteeism,Not Specified,0.0,00:40,40.0,0.26666666666666666
2017.0,2023-08-25 13:56:40,2023-08-24,Yes,801.0,NMS,08:10:00,09:20:00,Mechanical,Not Specified,0.0,01:10,70.0,1.1666666666666667
2102.0,2023-08-25 13:56:40,2023-08-24,Yes,207.0,WP-AM,19:10:00,20:40:00,Vehicle Availability,Not Specified,0.0,01:30,90.0,1.5
2104.0,2023-08-25 13:56:40,2023-08-24,Yes,601.0,RS-DP,18:30:00,19:00:00,Vehicle Availability,Not Specified,0.0,00:30,30.0,0.75
2104.0,2023-08-25 13:56:40,2023-08-24,Yes,601.0,RS-DP,14:30:00,14:42:00,Other,Waiting For Shuttle,0.0,00:12,12.0,0.3
2110.0,2023-08-25 13:56:40,2023-08-24,Yes,605.0,RS-DP,20:50:00,00:14:00,Manpower,Not Specified,0.0,03:24,204.0,5.1
2110.0,2023-08-25 13:56:40,2023-08-24,Yes,708.0,CH-US,06:30:00,08:44:00,Vehicle Availability,Not Specified,0.0,02:14,134.0,0.8933333333333333
2112.0,2023-08-25 13:56:40,2023-08-24,Yes,709.0,CH-US,12:00:00,14:30:00,Vehicle Availability,Not Specified,0.0,02:30,150.0,1.0
2113.0,2023-08-25 13:56:40,2023-08-24,Yes,502.0,EM-LP,17:10:00,20:00:00,Mechanical,Not Specified,0.0,02:50,170.0,2.8333333333333335
2114.0,2023-08-25 13:56:40,2023-08-24,Yes,109.0,GT-US,06:50:00,07:40:00,Vehicle Availability,Not Specified,0.0,00:50,50.0,0.4166666666666667
2118.0,2023-08-25 13:56:40,2023-08-24,Yes,710.0,CH-US,15:20:00,16:40:00,Vehicle Availability,Not Specified,0.0,01:20,80.0,0.5333333333333333
