Service Date,Report Time,Route,Service Week,Down,Spares,Training,Not in Service,Total Bus Fleet,Spares %,Down %,Training %,Not in Service %
2023-07-28,AM Service Delivery (7 AM-9 AM),CH-US,Friday,20.0,5.0,1.0,0.0,73,0.0684931506849315,0.273972602739726,0.0136986301369863,0.0
2023-07-28,AM Service Delivery (7 AM-9 AM),EM-LP,Friday,20.0,5.0,1.0,0.0,73,0.0684931506849315,0.273972602739726,0.0136986301369863,0.0
2023-07-28,AM Service Delivery (7 AM-9 AM),GT-US,Friday,20.0,5.0,1.0,0.0,73,0.0684931506849315,0.273972602739726,0.0136986301369863,0.0
2023-07-28,AM Service Delivery (7 AM-9 AM),NMS,Friday,20.0,5.0,1.0,0.0,73,0.0684931506849315,0.273972602739726,0.0136986301369863,0.0
2023-07-28,AM Service Delivery (7 AM-9 AM),RS-DP,Friday,20.0,5.0,1.0,0.0,73,0.0684931506849315,0.273972602739726,0.0136986301369863,0.0
2023-07-28,AM Service Delivery (7 AM-9 AM),WP-AM,Friday,20.0,5.0,1.0,0.0,73,0.0684931506849315,0.273972602739726,0.0136986301369863,0.0
2023-07-28,Night Service Delivery (9 PM onwards),CH-US,Friday,19.0,4.0,0.0,0.0,73,0.0547945205479452,0.2602739726027397,0.0,0.0
2023-07-28,Night Service Delivery (9 PM onwards),EM-LP,Friday,19.0,4.0,0.0,0.0,73,0.0547945205479452,0.2602739726027397,0.0,0.0
2023-07-28,Night Service Delivery (9 PM onwards),GT-US,Friday,19.0,4.0,0.0,0.0,73,0.0547945205479452,0.2602739726027397,0.0,0.0
2023-07-28,Night Service Delivery (9 PM onwards),NMS,Friday,19.0,4.0,0.0,0.0,73,0.0547945205479452,0.2602739726027397,0.0,0.0
2023-07-28,Night Service Delivery (9 PM onwards),RS-DP,Friday,19.0,4.0,0.0,0.0,73,0.0547945205479452,0.2602739726027397,0.0,0.0
2023-07-28,Night Service Delivery (9 PM onwards),WP-AM,Friday,19.0,4.0,0.0,0.0,73,0.0547945205479452,0.2602739726027397,0.0,0.0
2023-07-28,PM Service Delivery (3 PM-5 PM),CH-US,Friday,24.0,1.0,0.0,0.0,73,0.0136986301369863,0.3287671232876712,0.0,0.0
2023-07-28,PM Service Delivery (3 PM-5 PM),EM-LP,Friday,24.0,1.0,0.0,0.0,73,0.0136986301369863,0.3287671232876712,0.0,0.0
2023-07-28,PM Service Delivery (3 PM-5 PM),GT-US,Friday,24.0,1.0,0.0,0.0,73,0.0136986301369863,0.3287671232876712,0.0,0.0
2023-07-28,PM Service Delivery (3 PM-5 PM),NMS,Friday,24.0,1.0,0.0,0.0,73,0.0136986301369863,0.3287671232876712,0.0,0.0
2023-07-28,PM Service Delivery (3 PM-5 PM),RS-DP,Friday,24.0,1.0,0.0,0.0,73,0.0136986301369863,0.3287671232876712,0.0,0.0
2023-07-28,PM Service Delivery (3 PM-5 PM),WP-AM,Friday,24.0,1.0,0.0,0.0,73,0.0136986301369863,0.3287671232876712,0.0,0.0
2023-07-28,Pull-out AM (6 AM-7 AM),CH-US,Friday,15.0,15.0,0.0,0.0,73,0.2054794520547945,0.2054794520547945,0.0,0.0
2023-07-28,Pull-out AM (6 AM-7 AM),EM-LP,Friday,15.0,15.0,0.0,0.0,73,0.2054794520547945,0.2054794520547945,0.0,0.0
2023-07-28,Pull-out AM (6 AM-7 AM),GT-US,Friday,15.0,15.0,0.0,0.0,73,0.2054794520547945,0.2054794520547945,0.0,0.0
2023-07-28,Pull-out AM (6 AM-7 AM),NMS,Friday,15.0,15.0,0.0,0.0,73,0.2054794520547945,0.2054794520547945,0.0,0.0
2023-07-28,Pull-out AM (6 AM-7 AM),RS-DP,Friday,15.0,15.0,0.0,0.0,73,0.2054794520547945,0.2054794520547945,0.0,0.0
2023-07-28,Pull-out AM (6 AM-7 AM),WP-AM,Friday,15.0,15.0,0.0,0.0,73,0.2054794520547945,0.2054794520547945,0.0,0.0
2023-07-29,AM Service Delivery (7 AM-9 AM),CH-US,Saturday,22.0,2.0,0.0,0.0,73,0.0273972602739726,0.3013698630136986,0.0,0.0
2023-07-29,AM Service Delivery (7 AM-9 AM),EM-LP,Saturday,22.0,2.0,0.0,0.0,73,0.0273972602739726,0.3013698630136986,0.0,0.0
2023-07-29,AM Service Delivery (7 AM-9 AM),GT-US,Saturday,22.0,2.0,0.0,0.0,73,0.0273972602739726,0.3013698630136986,0.0,0.0
2023-07-29,AM Service Delivery (7 AM-9 AM),NMS,Saturday,22.0,2.0,0.0,0.0,73,0.0273972602739726,0.3013698630136986,0.0,0.0
2023-07-29,AM Service Delivery (7 AM-9 AM),RS-DP,Saturday,22.0,2.0,0.0,0.0,73,0.0273972602739726,0.3013698630136986,0.0,0.0
2023-07-29,AM Service Delivery (7 AM-9 AM),WP-AM,Saturday,22.0,2.0,0.0,0.0,73,0.0273972602739726,0.3013698630136986,0.0,0.0
2023-07-29,Night Service Delivery (9 PM onwards),CH-US,Saturday,20.0,18.0,0.0,0.0,73,0.2465753424657534,0.273972602739726,0.0,0.0
2023-07-29,Night Service Delivery (9 PM onwards),EM-LP,Saturday,20.0,18.0,0.0,0.0,73,0.2465753424657534,0.273972602739726,0.0,0.0
2023-07-29,Night Service Delivery (9 PM onwards),GT-US,Saturday,20.0,18.0,0.0,0.0,73,0.2465753424657534,0.273972602739726,0.0,0.0
2023-07-29,Night Service Delivery (9 PM onwards),NMS,Saturday,20.0,18.0,0.0,0.0,73,0.2465753424657534,0.273972602739726,0.0,0.0
2023-07-29,Night Service Delivery (9 PM onwards),RS-DP,Saturday,20.0,18.0,0.0,0.0,73,0.2465753424657534,0.273972602739726,0.0,0.0
2023-07-29,Night Service Delivery (9 PM onwards),WP-AM,Saturday,20.0,18.0,0.0,0.0,73,0.2465753424657534,0.273972602739726,0.0,0.0
2023-07-29,PM Service Delivery (3 PM-5 PM),CH-US,Saturday,22.0,1.0,0.0,0.0,73,0.0136986301369863,0.3013698630136986,0.0,0.0
2023-07-29,PM Service Delivery (3 PM-5 PM),EM-LP,Saturday,22.0,1.0,0.0,0.0,73,0.0136986301369863,0.3013698630136986,0.0,0.0
2023-07-29,PM Service Delivery (3 PM-5 PM),GT-US,Saturday,22.0,1.0,0.0,0.0,73,0.0136986301369863,0.3013698630136986,0.0,0.0
2023-07-29,PM Service Delivery (3 PM-5 PM),NMS,Saturday,22.0,1.0,0.0,0.0,73,0.0136986301369863,0.3013698630136986,0.0,0.0
2023-07-29,PM Service Delivery (3 PM-5 PM),RS-DP,Saturday,22.0,1.0,0.0,0.0,73,0.0136986301369863,0.3013698630136986,0.0,0.0
2023-07-29,PM Service Delivery (3 PM-5 PM),WP-AM,Saturday,22.0,1.0,0.0,0.0,73,0.0136986301369863,0.3013698630136986,0.0,0.0
2023-07-29,Pull-out AM (6 AM-7 AM),CH-US,Saturday,21.0,10.0,0.0,0.0,73,0.136986301369863,0.2876712328767123,0.0,0.0
